"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Zach Ertz","PHI","SF","TE","3700","6.1","-4.2","0.5","19185170","8.9"
"Dawson Knox","BUF","MIA","TE","3500","5.7","-4.3","0.5","19185180","9.3"
"Jordan Akins","HOU","CLE","TE","3000","4.6","-4.4","0.4","19185202","6.3"
"Tevin Coleman","NYJ","NE","RB","4700","7.8","-4.5","0.5","19184160","12.2"
"Trey Sermon","SF","PHI","RB","4600","7.7","-4.5","0.5","19184164","13.2"
"Chris Conley","HOU","CLE","WR","3100","4.5","-4.6","0.0","19184694","6.1"
"Hayden Hurst","ATL","TB","TE","3800","5.8","-4.7","0.5","19185168","7.7"
"Albert Wilson","MIA","BUF","WR","3000","4.2","-4.7","0.0","19185110","6.6"
"Durham Smythe","MIA","BUF","TE","2500","3.3","-4.7","0.0","19185478","5.5"
"Brandon Aiyuk","SF","PHI","WR","5500","9.1","-4.8","0.5","19184536","14.5"
"Ty Johnson","NYJ","NE","RB","4500","7.0","-4.9","0.5","19184174","11.6"
"James Washington","PIT","LV","WR","3400","4.8","-4.9","0.0","19184640","8.8"
"Dee Eskridge","SEA","TEN","WR","3000","4.1","-4.9","0.0","19184736","8.5"
"Maxx Williams","ARI","MIN","TE","2700","3.3","-5.0","0.0","19185228","7.0"
"Pat Freiermuth","PIT","LV","TE","2700","3.3","-5.0","0.0","19185230","6.7"
"Danny Amendola","HOU","CLE","WR","3600","5.0","-5.1","0.5","19184624","6.8"
"Hunter Henry","NE","NYJ","TE","4300","6.3","-5.2","0.5","19185156","9.9"
"Freddie Swain","SEA","TEN","WR","3400","4.5","-5.2","0.0","19184646","9.0"
"Geoff Swaim","TEN","SEA","TE","2500","2.7","-5.3","0.0","19185278","5.0"
"Demetrius Harris","ARI","MIN","TE","2500","2.5","-5.5","0.0","19185314","5.7"
"Damiere Byrd","CHI","CIN","WR","3200","3.9","-5.5","0.0","19184676","6.8"
"Tony Jones Jr.","NO","CAR","RB","4400","6.2","-5.5","0.5","19184178","9.4"
"Juwan Johnson","NO","CAR","WR","3600","4.7","-5.5","0.0","19184628","7.7"
"Mohamed Sanu","SF","PHI","WR","3000","3.5","-5.5","0.0","19184942","6.8"
"Jimmy Graham","CHI","CIN","TE","3200","3.7","-5.6","0.0","19185186","6.5"
"Diontae Spencer","DEN","JAX","WR","3000","3.3","-5.6","0.0","19185000","6.5"
"Donald Parham Jr.","LAC","DAL","TE","2900","3.1","-5.6","0.0","19185210","6.9"
"Preston Williams","MIA","BUF","WR","3000","3.3","-5.6","0.0","19185108","5.4"
"Larry Rountree III","LAC","DAL","RB","4000","5.2","-5.8","0.0","19184212","10.4"
"Keelan Cole Sr.","NYJ","NE","WR","3000","3.2","-5.8","0.0","19185018","4.7"
"Tony Pollard","DAL","LAC","RB","5300","7.5","-6.0","0.5","19184134","13.0"
"Kendrick Bourne","NE","NYJ","WR","4100","5.1","-6.0","0.5","19184594","8.6"
"Giovani Bernard","TB","ATL","RB","4200","5.3","-6.0","0.5","19184194","10.7"
"Ian Thomas","CAR","NO","TE","2500","1.8","-6.1","0.0","19185332","3.3"
"Lil'Jordan Humphrey","NO","CAR","WR","3000","2.9","-6.1","0.0","19184872","5.4"
"Chris Herndon","MIN","ARI","TE","2900","2.5","-6.2","0.0","19185208","4.8"
"Michael Carter","NYJ","NE","RB","4100","5.0","-6.2","0.0","19184202","9.2"
"Mike Strachan","IND","LA","WR","3000","2.7","-6.3","0.0","19184926","4.8"
